date,latitude,longitude,country_name,admin_division_name,risk_class,elevation,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,et0_fao_evapotranspiration
2017-02-02,33.2216593,75.26926793,india,Jammu and Kashmir,Medium,759.0,14.3,0.0,0.0,0.0,2.14
2017-07-11,29.83416882,80.26894533,india,Uttaranchal,High,1318.0,21.7,11.5,11.5,19.0,2.22
2017-10-03,17.414895,78.43375799999998,india,Telangana,Medium,583.0,24.0,3.4,3.4,6.0,2.54
2011-08-07,31.71456806,77.02239366,india,Himachal Pradesh,Low,877.0,24.9,3.3,3.3,10.0,2.98
2010-08-19,26.9722,88.44809999999998,india,West Bengal,High,417.0,24.1,18.9,18.9,22.0,1.57
2013-08-17,31.0343,78.7248,india,Uttaranchal,Low,2453.0,16.4,10.8,10.8,9.0,2.97
2017-02-27,33.371973139999994,75.19440188999998,india,Jammu and Kashmir,Medium,1500.0,4.4,0.0,0.0,0.0,3.22
2013-07-25,30.7866,78.61709999999998,india,Uttaranchal,Low,1544.0,21.2,9.1,9.1,21.0,2.83
2015-03-30,33.854839809999994,74.76317442999998,india,Jammu and Kashmir,High,1963.0,5.1,6.0,6.0,15.0,3.01
2010-08-21,25.5718,94.1211,india,Manipur,High,1649.0,19.2,1.0,1.0,6.0,1.72
2016-08-10,30.070512,80.237218,india,Uttaranchal,Medium,2119.0,17.2,21.0,21.0,23.0,1.54
2015-07-19,30.73,78.43779999999998,india,Uttaranchal,Low,1171.0,22.7,18.5,18.5,17.0,1.93
2017-07-06,27.02149311,88.25902123,india,West Bengal,High,2338.0,14.5,16.3,16.3,23.0,1.44
2013-07-23,10.0533,76.4788,india,Kerala,Medium,65.0,23.7,17.7,17.7,19.0,2.28
2015-09-14,23.7348,92.7187,india,Mizoram,High,1043.0,21.2,9.6,9.6,9.0,3.03
2016-09-01,24.768609,92.821182,india,Assam,High,24.0,25.8,24.9,24.9,24.0,1.75
2011-06-14,15.5935,73.94339999999998,india,Goa,Low,6.0,25.1,37.8,37.8,24.0,1.6
2019-08-08,11.41001301,76.24145817999998,india,Kerala,High,70.0,24.4,92.8,92.8,24.0,1.51
2007-06-25,16.6252,80.61279999999998,india,Andhra Pradesh,Low,23.0,27.9,7.7,7.7,11.0,2.92
2014-07-14,23.7327,92.7463,india,Mizoram,High,846.0,23.5,15.0,15.0,13.0,2.75
2017-07-12,33.144018,75.54563999999998,india,Jammu and Kashmir,Medium,1132.0,23.3,10.7,10.7,17.0,2.18
2016-11-16,11.329547,76.801586,india,Tamil Nadu,High,1416.0,19.7,0.8,0.8,5.0,3.82
2013-10-11,32.3665,77.0857,india,Himachal Pradesh,Low,3678.0,5.1,2.4,2.4,7.0,2.38
2011-01-11,15.4838,73.8164,india,Goa,Low,10.0,24.7,0.0,0.0,0.0,5.06
2013-08-13,34.2601,75.4466,india,Jammu and Kashmir,Medium,3349.0,12.5,31.4,31.4,18.0,1.47
2013-08-17,30.7292,78.4396,india,Uttaranchal,High,1139.0,22.8,5.6,5.6,10.0,2.94
2007-10-21,24.75,93.4333,india,Manipur,High,546.0,20.7,0.0,0.0,0.0,3.26
2010-11-11,12.8806,75.0327,india,Karnataka,Medium,19.0,25.3,8.4,8.4,10.0,2.76
2017-06-11,14.42827957,74.41606625,india,Karnataka,High,18.0,25.3,87.3,87.3,24.0,0.81
2009-09-19,11.2695,76.2227,india,Kerala,High,28.0,24.8,20.3,20.3,23.0,2.46
2011-04-19,33.5808,74.90349999999998,india,Jammu and Kashmir,Low,2221.0,7.0,8.6,8.4,16.0,3.21
2010-07-25,31.1054,77.1727,india,Himachal Pradesh,High,2178.0,18.6,9.7,9.7,12.0,2.48
2015-09-07,11.81,78.2253,india,Tamil Nadu,High,1409.0,19.5,4.1,4.1,12.0,2.94
2017-06-21,33.63251807,75.23162005999998,india,Jammu and Kashmir,Medium,1748.0,14.9,20.3,20.3,20.0,1.68
2008-02-13,11.3484,76.7937,india,Tamil Nadu,Medium,1739.0,17.1,2.4,2.4,6.0,3.08
2009-08-20,27.1344,88.45749999999998,india,Sikkim,Low,627.0,22.9,43.3,43.3,23.0,1.05
2013-06-27,27.3765,88.7628,india,Sikkim,High,3764.0,10.3,26.2,26.2,24.0,1.75
2018-05-03,11.2529052,75.78662828,india,Kerala,High,10.0,27.6,38.2,38.2,12.0,3.84
2013-07-24,30.262,79.21909999999998,india,Uttaranchal,High,823.0,24.7,6.0,6.0,16.0,3.45
2013-07-07,31.9671,76.8521,india,Himachal Pradesh,Low,1479.0,20.2,18.7,18.7,20.0,1.43
2012-08-17,9.5527,76.9299,india,Kerala,Low,351.0,21.4,32.7,32.7,24.0,0.98
2017-04-07,34.40393623,74.26149296,india,Jammu and Kashmir,Medium,1606.0,7.0,7.4,7.4,14.0,1.66
2013-05-07,24.2315,92.6755,india,Mizoram,Low,680.0,20.8,30.6,30.6,19.0,2.19
2013-07-24,30.2733,79.233,india,Uttaranchal,High,1020.0,23.4,6.0,6.0,16.0,3.38
2016-07-20,27.1176,88.10689999999998,india,West Bengal,High,2018.0,18.5,63.3,63.3,24.0,1.47
2010-08-22,30.4238,79.67239999999998,india,Uttaranchal,Low,5082.0,4.6,9.8,7.8,15.0,2.36
2011-06-29,30.81507336,78.2242533,india,Uttaranchal,High,1320.0,22.5,21.9,21.9,15.0,2.41
2011-06-16,11.2993,76.9354,india,Tamil Nadu,High,327.0,24.8,0.4,0.4,2.0,4.34
2008-10-29,27.4,92.35,india,Arunachal Pradesh,Low,2628.0,6.7,0.9,0.9,5.0,2.37
2007-09-08,25.0604,93.9877,india,Manipur,Low,1485.0,18.3,24.5,24.5,23.0,1.17
2015-09-01,26.49349035,91.72137514,india,Assam,High,62.0,25.6,12.3,12.3,20.0,1.23
2011-07-22,24.7992,93.948,india,Manipur,High,779.0,23.5,24.9,24.9,23.0,2.74
2017-07-09,27.14163897,93.66495709,india,Arunachal Pradesh,High,986.0,21.1,66.5,66.5,24.0,1.34
2018-08-15,8.25053724,77.26519094000001,india,Tamil Nadu,Medium,48.0,23.7,45.9,45.9,24.0,1.1
2009-10-02,14.7395,74.2566,india,Karnataka,Medium,3.0,25.6,27.3,27.3,24.0,0.93
2008-01-07,33.4341,75.1923,india,Jammu and Kashmir,Medium,1742.0,1.8,11.8,11.8,12.0,0.95
2016-07-02,30.89221723,77.09003076,india,Himachal Pradesh,Low,1598.0,20.9,32.3,32.3,24.0,0.85
2011-07-21,30.1665,78.1123,india,Uttaranchal,Medium,466.0,26.6,2.5,2.5,9.0,2.88
2014-08-17,34.5382,74.2493,india,Jammu and Kashmir,Low,1665.0,18.0,10.7,10.7,5.0,4.5
2007-09-18,27.2872,88.28159999999998,india,Sikkim,Low,574.0,24.7,3.0,3.0,3.0,3.72
2013-08-04,26.1498,94.6055,india,Nagaland,Medium,1721.0,20.1,12.8,12.8,12.0,3.45
2015-03-15,33.0977,75.5787,india,Jammu and Kashmir,Medium,1085.0,6.7,21.5,21.5,22.0,0.9
2011-07-15,32.3491,77.2181,india,Himachal Pradesh,Medium,3320.0,10.8,3.4,3.4,15.0,2.54
2017-01-26,33.24788762,75.21401709,india,Jammu and Kashmir,High,717.0,9.1,46.0,45.4,23.0,0.37
2011-08-05,27.1034,93.6885,india,Arunachal Pradesh,Medium,147.0,25.7,20.1,20.1,23.0,1.44
2010-10-22,33.0107,74.9397,india,Jammu and Kashmir,High,1423.0,12.0,19.3,19.3,19.0,1.12
2007-07-30,30.4,79.349,india,Uttaranchal,Low,1304.0,21.2,3.7,3.7,16.0,2.5
2015-08-15,30.6494,79.5269,india,Uttaranchal,High,2058.0,18.2,9.7,9.7,14.0,2.61
2015-03-30,33.9344,74.65659999999998,india,Jammu and Kashmir,Medium,2103.0,3.6,0.3,0.3,2.0,2.79
2011-07-20,27.1141,88.4658,india,Sikkim,Low,263.0,26.2,72.9,72.9,12.0,1.8
2013-08-19,34.0942,74.02259999999998,india,Jammu and Kashmir,Low,1283.0,22.4,12.4,12.4,10.0,3.18
2010-07-04,26.8712,88.3052,india,West Bengal,Low,1128.0,21.8,9.6,9.6,22.0,2.83
2011-05-31,9.8012,76.90059999999998,india,Kerala,High,725.0,21.7,16.7,16.7,24.0,2.73
2007-09-07,15.5063,73.8362,india,Goa,Medium,16.0,25.1,28.0,28.0,24.0,2.59
2013-10-05,25.8266,94.1497,india,Nagaland,Low,1409.0,18.5,21.1,21.1,20.0,1.11
2015-08-01,24.3481,94.1146,india,Manipur,Low,995.0,20.9,17.3,17.3,19.0,2.0
2017-07-02,32.26186432,78.0685005,india,Himachal Pradesh,Low,4315.0,9.1,0.3,0.3,2.0,4.75
2007-09-20,27.0875,88.4572,india,West Bengal,High,215.0,27.9,0.0,0.0,0.0,4.69
2018-09-27,33.38281992,75.20064617,india,Jammu and Kashmir,High,1482.0,18.8,0.0,0.0,0.0,3.68
2013-06-16,30.5728,77.6521,india,Himachal Pradesh,Medium,889.0,22.8,68.8,68.8,24.0,1.36
2010-05-31,28.4298,95.8776,india,Arunachal Pradesh,High,503.0,24.3,19.0,19.0,24.0,3.04
2018-07-31,25.67295037,94.10513917,india,Nagaland,Low,1358.0,20.4,41.8,41.8,24.0,1.99
2016-07-07,10.0545,78.02979999999998,india,Tamil Nadu,Medium,188.0,30.0,0.1,0.1,1.0,5.17
2018-09-27,33.264400460000005,75.18641667,india,Jammu and Kashmir,Low,943.0,22.4,0.0,0.0,0.0,3.9
2015-07-26,31.1263,77.3525,india,Himachal Pradesh,Low,2271.0,17.4,26.4,26.4,19.0,2.52
2013-07-25,19.3379,73.7767,india,Maharashtra,High,582.0,21.6,30.5,30.5,24.0,1.6
2018-08-09,10.05487169,77.03736623999998,india,Kerala,Medium,1548.0,16.7,25.3,25.3,23.0,2.14
2011-05-31,25.1555,93.8474,india,Manipur,High,1406.0,19.5,86.6,86.6,23.0,1.75
2012-09-04,19.6241,72.9084,india,Maharashtra,High,15.0,25.5,31.7,31.7,24.0,0.84
2008-06-03,31.2077,77.193,india,Himachal Pradesh,Medium,870.0,24.3,2.4,2.4,5.0,4.98
2013-09-02,27.1614,93.7525,india,Arunachal Pradesh,Low,150.0,25.7,21.0,21.0,24.0,2.33
2011-07-22,24.3527,94.3429,india,Manipur,Low,285.0,25.2,15.4,15.4,16.0,2.61
2010-11-08,14.7822,74.2279,india,Karnataka,Medium,207.0,22.8,26.6,26.6,22.0,0.99
2017-04-15,33.17598419,75.81088889,india,Jammu and Kashmir,Low,1070.0,20.6,0.0,0.0,0.0,5.88
2014-10-12,19.1008,84.0502,india,Orissa,Medium,456.0,23.7,100.4,100.4,24.0,1.11
2008-03-30,34.219,77.26649999999998,india,Jammu and Kashmir,Medium,3382.0,-10.9,0.0,0.0,0.0,2.39
2018-08-18,9.76821399,77.10872714999998,india,Kerala,High,910.0,19.8,17.8,17.8,24.0,1.78
2018-10-14,9.22979437,76.85092557999998,india,Kerala,Medium,65.0,24.5,27.3,27.3,15.0,2.44
2008-05-18,19.5178,83.18089999999998,india,Orissa,High,642.0,32.9,0.0,0.0,0.0,7.33
2007-09-11,25.52,91.27,india,Meghalaya,Low,1340.0,21.7,7.6,7.6,11.0,3.16
2014-09-26,33.0365,74.4889,india,Jammu and Kashmir,Low,625.0,24.7,0.0,0.0,0.0,4.38
2007-09-10,24.2451,94.0691,india,Manipur,Low,1349.0,20.2,7.5,7.5,17.0,2.31
2015-08-01,24.1077,94.0396,india,Manipur,Low,1253.0,19.9,12.2,12.2,19.0,2.37
2013-05-11,26.1771,91.7599,india,Assam,High,66.0,24.9,21.7,21.7,20.0,2.74
2012-12-11,32.9522,75.1533,india,Jammu and Kashmir,Low,979.0,9.1,3.4,3.4,5.0,1.58
2011-10-17,9.9903,76.7898,india,Kerala,Medium,59.0,23.8,11.4,11.4,15.0,1.45
2010-08-27,24.7505,93.4221,india,Manipur,Medium,772.0,23.0,8.1,8.1,23.0,2.86
2015-06-21,18.7833,73.47029999999998,india,Maharashtra,Medium,770.0,22.4,26.6,26.6,24.0,1.69
2013-07-10,19.0263,72.86759999999998,india,Maharashtra,High,8.0,25.7,31.1,31.1,24.0,2.1
2017-04-07,34.08325186,74.84254061,india,Jammu and Kashmir,Low,1650.0,4.9,9.9,9.9,14.0,2.24
2010-08-06,34.1114,77.5874,india,Jammu and Kashmir,Low,3233.0,17.4,12.8,12.8,20.0,3.42
2013-02-18,28.1193,95.1645,india,Arunachal Pradesh,Low,823.0,13.4,16.5,16.5,17.0,1.92
2014-06-28,26.1964,91.7652,india,Assam,High,78.0,27.0,4.5,4.5,13.0,2.26
2010-07-06,26.7225,95.0281,india,Nagaland,Medium,706.0,24.7,4.8,4.8,14.0,3.2
2013-08-16,26.8727,94.9275,india,Nagaland,Medium,128.0,27.1,13.2,13.2,15.0,3.72
2017-07-10,26.95147008,93.86686394,india,Assam,Low,87.0,24.8,120.8,120.8,22.0,1.15
2015-04-26,16.5172,80.6024,india,Andhra Pradesh,Medium,24.0,29.9,1.2,1.2,3.0,5.53
2010-06-17,26.4333,94.8833,india,Nagaland,High,535.0,26.2,32.5,32.5,11.0,3.77
2015-08-20,25.6263,94.1057,india,Nagaland,High,1546.0,20.0,18.0,18.0,11.0,2.09
2013-06-15,31.5168,78.0976,india,Himachal Pradesh,High,1730.0,18.8,13.3,13.3,20.0,2.83
2009-08-16,26.882115220000003,88.3195318,india,West Bengal,High,1256.0,20.4,37.1,37.1,24.0,0.93
2013-06-18,30.3797,78.5017,india,Uttaranchal,Low,880.0,23.1,2.3,2.3,7.0,3.46
2008-09-19,31.587,78.315,india,Himachal Pradesh,High,2795.0,8.4,63.6,63.6,24.0,0.57
2011-07-06,30.3214,78.03189999999998,india,Uttaranchal,Medium,657.0,25.1,24.8,24.8,15.0,2.15
2010-07-25,16.94054188,73.46485294,india,Maharashtra,Low,49.0,24.3,50.8,50.8,24.0,0.86
2009-09-03,32.351,77.2234,india,Himachal Pradesh,Medium,3275.0,7.0,10.1,6.1,20.0,1.67
2012-07-05,31.1066,77.209,india,Himachal Pradesh,Medium,2297.0,17.4,16.4,16.4,22.0,2.31
2018-08-16,11.86932069,75.90546189,india,Kerala,Medium,473.0,21.5,135.1,135.1,24.0,0.72
2013-09-07,27.3736,88.73229999999998,india,Sikkim,High,3454.0,8.1,1.4,1.4,7.0,2.39
2017-04-12,32.99132221,75.19427899,india,Jammu and Kashmir,High,866.0,22.2,0.0,0.0,0.0,6.62
2006-09-01,9.65498419,76.72308237999998,india,Kerala,Low,42.0,24.8,13.1,13.1,15.0,3.75
2011-06-07,30.5319,79.3541,india,Uttaranchal,Low,2689.0,11.0,1.3,1.3,3.0,3.31
2012-06-06,29.2409,95.9761,india,Arunachal Pradesh,High,4417.0,0.0,11.4,7.2,24.0,1.99
2011-07-02,13.1819,76.1147,india,Karnataka,Medium,968.0,20.8,11.5,11.5,22.0,1.87
2013-08-07,32.2322,76.3037,india,Himachal Pradesh,Low,1636.0,20.3,3.7,3.7,12.0,2.84
2010-04-02,27.8997,93.3497,india,Arunachal Pradesh,High,872.0,18.0,10.5,10.5,18.0,2.19
2015-03-10,32.5612,76.1238,india,Himachal Pradesh,High,928.0,6.7,0.0,0.0,0.0,3.6
2009-08-16,27.02459801,88.43849550999998,india,West Bengal,High,447.0,22.9,22.7,22.7,24.0,0.69
2017-04-17,33.3191592,75.19329838,india,Jammu and Kashmir,Medium,1277.0,21.0,0.0,0.0,0.0,5.84
2018-08-15,10.53762479,76.21576213,india,Kerala,High,6.0,24.2,86.3,86.3,24.0,1.26
2013-07-12,29.3802,79.4633,india,Uttaranchal,High,1938.0,19.8,17.2,17.2,22.0,2.56
